ID,Unlocalised name,Type,Min Level,Max Level,Class
0,enchantment.protect.all,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
1,enchantment.protect.fire,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
2,enchantment.protect.fall,armor_feet,1,4,net.minecraft.enchantment.EnchantmentProtection
3,enchantment.protect.explosion,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
4,enchantment.protect.projectile,armor,1,4,net.minecraft.enchantment.EnchantmentProtection
5,enchantment.oxygen,armor_head,1,3,net.minecraft.enchantment.EnchantmentOxygen
6,enchantment.waterWorker,armor_head,1,1,net.minecraft.enchantment.EnchantmentWaterWorker
7,enchantment.thorns,armor_torso,1,3,net.minecraft.enchantment.EnchantmentThorns
16,enchantment.damage.all,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
17,enchantment.damage.undead,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
18,enchantment.damage.arthropods,weapon,1,5,net.minecraft.enchantment.EnchantmentDamage
19,enchantment.knockback,weapon,1,2,net.minecraft.enchantment.EnchantmentKnockback
20,enchantment.fire,weapon,1,2,net.minecraft.enchantment.EnchantmentFireAspect
21,enchantment.lootBonus,weapon,1,3,net.minecraft.enchantment.EnchantmentLootBonus
32,enchantment.digging,digger,1,5,net.minecraft.enchantment.EnchantmentDigging
33,enchantment.untouching,digger,1,1,net.minecraft.enchantment.EnchantmentUntouching
34,enchantment.durability,breakable,1,3,net.minecraft.enchantment.EnchantmentDurability
35,enchantment.lootBonusDigger,digger,1,3,net.minecraft.enchantment.EnchantmentLootBonus
48,enchantment.arrowDamage,bow,1,5,net.minecraft.enchantment.EnchantmentArrowDamage
49,enchantment.arrowKnockback,bow,1,2,net.minecraft.enchantment.EnchantmentArrowKnockback
50,enchantment.arrowFire,bow,1,1,net.minecraft.enchantment.EnchantmentArrowFire
51,enchantment.arrowInfinite,bow,1,1,net.minecraft.enchantment.EnchantmentArrowInfinite
61,enchantment.lootBonusFishing,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentLootBonus
62,enchantment.fishingSpeed,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentFishingSpeed
75,enchantment.blink,all,1,3,mariculture.magic.enchantments.EnchantmentBlink
76,enchantment.elemental,all,1,1,mariculture.magic.enchantments.EnchantmentElemental
77,enchantment.fall,all,1,4,mariculture.magic.enchantments.EnchantmentFallDamage
78,enchantment.flight,all,1,3,mariculture.magic.enchantments.EnchantmentFlight
79,enchantment.glide,all,1,2,mariculture.magic.enchantments.EnchantmentGlide
80,enchantment.health,all,1,3,mariculture.magic.enchantments.EnchantmentHealth
81,enchantment.jump,all,1,4,mariculture.magic.enchantments.EnchantmentJump
82,enchantment.hungry,all,1,5,mariculture.magic.enchantments.EnchantmentNeverHungry
83,enchantment.oneRing,all,1,1,mariculture.magic.enchantments.EnchantmentOneRing
84,enchantment.restore,all,1,3,mariculture.magic.enchantments.EnchantmentRestore
85,enchantment.resurrection,all,1,3,mariculture.magic.enchantments.EnchantmentResurrection
86,enchantment.speed,all,1,5,mariculture.magic.enchantments.EnchantmentSpeed
87,enchantment.spiderman,all,1,1,mariculture.magic.enchantments.EnchantmentSpider
88,enchantment.stepUp,all,1,3,mariculture.magic.enchantments.EnchantmentStepUp
100,enchant.cofh.holding,all,1,4,cofh.enchantment.EnchantmentHolding
136,enchantment.tfFireReact,armor,1,1,twilightforest.enchantment.EnchantmentTFFireReact
137,enchantment.tfChillAura,armor,1,1,twilightforest.enchantment.EnchantmentTFChillAura
188,Reading,armor_head,1,1,jds.bibliocraft.EnchantmentReading
